@relation selectedData

@attribute tweet STRING
@attribute sentiment {positive, negative}

@data
'USERNAME Ahava, имам алергија од Hauschka. Кај нас има Merz mousse hyaluronique и е најдоброто нешто на свет, за малку пари  ', positive
'USERNAME не забораај купачи чекам на инста. И ноктиња  ', positive
'USERNAME Ох, разочарување на деценијата.  ', positive
'USERNAME Само ај ела ова објасни му го на љубовните партнери и да те сватат  али то е... ', negative
'и сеа очекуем некој цајкан да ме блокне  ', positive
'USERNAME URL Ја најдов! Убав ден  ', positive
'USERNAME спoлaј ти  ', positive
'USERNAME ајде па викај на свадба  ', positive
'USERNAME ебате хејтерот  ', positive
'USERNAME баш такви и требају, знаш ти колико је авионска карта данас?!  ', positive
'USERNAME а ти са два улошка са стране...рачуница ти није нека  ', positive
'Уживајте во вашето слободно време!  URL ', positive
'USERNAME ајде бе наши смо, не ми се црвени сеа  USERNAME ', positive
'Меки лепчиња со сирење кои цело семејство нетрпеливо ќе ги чека на трпезата  URL ', positive
'USERNAME два пута сам опрала мом пок.супругу мобилне,пошто није волео да му се стваљa рукa у џепове, није се ни љутио за тај мој рад  ', positive
'USERNAME аналитичко око не е заебанција  професионална мана ... ', positive
'USERNAME а хаа, почна па од пред некуј ден после д‘га пауза. само бројки глеам.  ', positive
'USERNAME а да и водила сам се под \"немој да пијеш\"  ', positive
'USERNAME еј честитки  ', positive
'USERNAME Фала тии :)) И на твоја глава  ', positive
'USERNAME Зашо не ме пингаш Крофне?  ', negative
'USERNAME Масечка  URL ', positive
'USERNAME ама некои јас не.  ', positive
'USERNAME нека биде пропуштена  ', positive
'USERNAME Абер од некој Кираџија  ', positive
'USERNAME аирлија, штом така  ', positive
'Хубав талант  URL ', positive
'Купив двор до нејзиниот....да и се додворувам  ', positive
'* Гушни ме! - Те гушкам! * Уште малце  - Никаде не пишува дека престанав.  #Љубов ', positive
'USERNAME Можда само ужива у патњи остале деце?  ', positive
'USERNAME татко ми ги јаде со шеќер и ореви....how about no? нутела и ореви е друга ствар, али шеќер???  ', negative
'USERNAME USERNAME То је у реду ако добије пелену и флашицу воде....   ', positive
'USERNAME хаха не знам него прашај го :)) ама да ни мене не ми иде  ', positive
'USERNAME  којзнае до таму колку е. Ќе трошам пари у берлин ', positive
'USERNAME епа требаше на жетони да се вратиме  ', positive
'USERNAME треба да поработиме на тоа. Јас пишувам колумна сега за истото  Воедно го протнувам лукот насекаде, тој е алатка за мир. ', positive
'Солун кежуал. Покежуал здравје, со изгребана лимена масичка под дрво  URL ', positive
'USERNAME Уште не сум била, ама наскоро  USERNAME ', positive
'USERNAME хаха исто со моето, еј еве супер дој на гости со дечко ми се преселивме заедно (seen)  ', positive
'USERNAME USERNAME па СДСМ нормално! Да не ги објавеа бомбите немаше да има криза !  ', positive
'USERNAME или недај боже јането прасенцето  ', positive
'USERNAME разговори за Тоше и фамилијата...нешто слушнавме али не се  ', negative
'Значи не. Се\' што треба е да се вратам во времето лани кога ова важело  USERNAME USERNAME URL ', positive
'USERNAME абе не има, ебеме, ама не се фалиме(веќе)   ', positive
'USERNAME е ебати ебењето ако не се пофалиш...  ', positive
'USERNAME кликни тука (______) да ја наполниш батеријата  ', positive
'USERNAME од кај па ја, не сум толку популарен  ', positive
'USERNAME понекад и мириса, да  ', positive
'USERNAME шетај слободно што се мени тиче  туку не си ми јасен со што ја оправдуваш забраната? од медицински верски безбедносен аспект? ', positive
'USERNAME обично вегански ствари ставам што никој не ги лајка  ', positive
'Што убаво коа се одговара искрено на \"како си\"  ', positive
'USERNAME USERNAME реклама никаба  ', positive
'USERNAME сигурно не, ама дај ми го мене ако нејќеш  ', positive
'USERNAME штом ризикуваш да си спамиран, ок  Ќе те ставам во група со колегите од работа, да не ми ги гледаш голите фотки ', positive
'USERNAME хахаха мултиталент јас еј!  ', positive
'USERNAME ај ќе седнеме у евроазија у петербург, ти ќе нарачаш суши, ја пилешко у сос  ', positive
'USERNAME супер. Многу јака фора  два сината друже хахахха ', positive
'USERNAME USERNAME Слишајте го вие научникот  ', positive
'USERNAME велам дека премногу симплифицираш tbh  уште малку по твое ќе излезе да не носиме и очила за сонце. speed-lane to 1984 ', positive
'Елајте си!  URL ', positive
'USERNAME Под спорт сам мислио само на фудбал.  ', positive
'USERNAME чим си го прошол третиот немаш гајле  ', positive
'USERNAME ја у ПМС сум најдобра. Другиот дел од месецот треба да се издржи  ', positive
'USERNAME фрлии и ти некој комплимент  ', positive
'USERNAME Шта би са тобом? Јеси ли добро?  ', positive
'USERNAME дај боже да си во право  ', positive
'USERNAME код мене радимо са URL више не питамо клијента да ли хоће \"mobile friendly\" сајт, другачији и не може  ', positive
'Сфатив, јас сум уствари бидермаер. Задњиот...  ', positive
'USERNAME ех, кај би биле они со нашава клима... и ние со нивните пари  ', positive
'\"топло вам препоручуемо наша хладна предјела\",  иди бре промотерко у пизду материну  ', positive
'USERNAME а Хитлер уствари вегетаријанец бил  ', negative
'USERNAME кога ќе излезиш од полагање сфаќаш дека то е лага  ', negative
'USERNAME Готово го бев нашол, страница од некоја книга е  ', positive
'USERNAME не е океј сине... влегуваш во дискусија и по недостаток од аргументи се повлекуваш  а човек мисли дека имаш познавање во ова ', negative
'USERNAME ја одма паднав  ', positive
'Крени са нама ове године у Москву нећеш се покајати  URL ', positive
'USERNAME ево гледај баш ми овде фали таква клупица, била је него скинули кад сам мењала ограду  URL ', positive
'7847 Каипи вс Флипсајд 2ка. Лесен 1.95 коефициент  ', positive
'USERNAME Најчеста реченица, изговорена секој ден  ', positive
'USERNAME USERNAME затоа викам: ние малку да им позајмиме од нашата клима, а они малку од нивниот БДП  ', positive
'Насмејте се, поправите неком расположење.  ', positive
'Ахметову на заметку  URL ', positive
'USERNAME USERNAME се слагам :)) најмногу случаи на депресија во светот има по скандинавијата. Тоа дека нема за што да се нервираат  ', positive
'Архитектите своите грешки ги покриваат со мермер , лекарите со земја а жените со деколте  , интересно ... ', positive
'Кој ке ми покаже како да си го сменам дизајнот / позадината на хоумејџов на твитер, ќе го почастам кафе  ', positive
'ово није истина на овом свету ::прелази у агрегатно стање барице:: URL ', positive
'USERNAME Деплој у петок пуштаат. Останете така  ', positive
'USERNAME ептен жално што трае само до недела  дајте друг систем! ', negative
'USERNAME тајна е тоа, не се продава за кафе  ', positive
'Јаооо ќе те растурат со голови бе  URL ', positive
'USERNAME  ќе се најде некој ', positive
'USERNAME ај јас ќе кажам, нема да ми биде првпат да лажам за пријатели  ', positive
'некој по пола?  URL ', positive
'USERNAME и јас. али живеам во бинарен свет и морам да фаќам страна  ', negative
'USERNAME леле колку убаво изгледа!  ', positive
'Дечки полека со ручоците на ТЛ да не сликам и јас  ', positive
'USERNAME Ќе му најдеме дупка, ќе го заглавиме у сабота навечер. Само да ја најдам соодветната сабота  ', positive
'USERNAME мажите шо не ја читале вас така ве третираат  ', negative
'USERNAME најчесто не можам да се сопрам и да правам паузи  ', positive
'USERNAME Тоа беше доживљај  Или смс порака од симпатијата, да чекаш со задоволство и да се радуваш  ', positive
'USERNAME нема престан додека чинијата не се измете  ', positive
'USERNAME не мора ништа баш конкретно, само бих без конкретних портрета као што је нпр. овај са кацигом  ако буде ишта једва чекам :3 ', positive
'USERNAME и јадење и пиење исто  ', positive
'USERNAME исто.. да ти не причам кад су трешњу секли у дворишту, убила сам се плачући, ја сам на тој трешњи одрасла  ', positive
'USERNAME и јас сум позитивно изненаден од нејзиното позитивно размислување за нас, за нашиот менталитет и за нашите обичаи  ', positive
'USERNAME А ја селфи штап  ', negative
'.@kraft_mk  Се случи. - Хемиска војна веќе неколку дена.  URL ', negative
'USERNAME А, шалио се лик очигледно, шта су сви скочили  Па, какав је тим Америке, тако је и изгледало...  ', positive
'USERNAME чувај си ја за ужинка  ', positive
'USERNAME Знаш да су код наc на тв-у исписали бројеве пре него што су изашли?  ', positive
'USERNAME досадни ама корисни  #WeLiveToInform #WeLoveToSMS ', positive
'USERNAME пред 3 дна искочи апдејт  ', positive
'USERNAME освен некои кои се константни во барањето цицки и поштено би рекла  ', positive
'USERNAME Тер Штеген и Силесен. Не знаеш кој е поголем киксер  ', positive
'USERNAME 30 ке примат барса ова сезона ко ништо  ', positive
'USERNAME низам знала за тај други назив, хвала  ', positive
'USERNAME Ѓубрето мора да заврши негде  Еден ми цркна веќе у година дена користење, сеа иам втор. USERNAME ', positive
'USERNAME ХЦ  . Јутуб ти лежи, ама да земеш да збориш ќе станеш славен, слушај шо ти викам. Преку ред у веро ќе те пуштаат ', positive
'USERNAME сеа дома го рибавме со четка. Па да се знае на ехо кај кого била! Со тебе со гелови у минус ќе влезат!  ', positive
'USERNAME не бе ја мирно си спију, њума гу прашај  ', negative
'Посебна салама си е посебна салама, нек си ебе матер  ', positive
'744 следбеници на твитер. Доста јако  ', positive
'сладолед+полуотворена_пица=ко_ич_да_немаш_јадено  ', negative
'с чунменом URL ', positive
'USERNAME Да смо се миспрдали тако, не  би ни знали, јер не би ни гледали емисију, јер их баш брига  ', positive
'На национална телевизија  URL ', positive
'Срећан 25. рођендан Линуксу... и маскоти Туксу  #Linux25 <3 URL ', positive
'USERNAME честитки царе, жива здрава! Ако е второ да знаеш дека џабе ти се двете ако немаш трето дете  ', positive
'USERNAME нема на твитеров, и ја едно време барав тука. Све се систем администратори  ', positive
'USERNAME ние, црвена коса је нешто предивно  ', negative
'USERNAME уште една царицa, ќе се справиш ли  ', positive
'USERNAME Боље покасно него никоаш  ', positive
'USERNAME баш си бајче  ', positive
'USERNAME USERNAME хех, јасно друже, не го пишав ова од памет  жива вистина а во самото Травеминде имам сретнато наши  ', positive
'сама бебил  ', positive
'убола ме оса  ', positive
'стрешљен  ', positive
'стршљен*  ', positive
'USERNAME Нек дође и поправи  USERNAME ', positive
'USERNAME братучеткиве уште ми се лути како тоа не сум ги оставал да запалат цигара кај мене дома   ', positive
'USERNAME Роналдо е најдобар  ', positive
'USERNAME јас ем без работа ем без љубов, ако ти е за утеха  ', negative
'USERNAME USERNAME није смешно  ', negative
'USERNAME Пођоше ми сузе.. свако добро од срца желим Гаги и теби  ', positive
'USERNAME Тој седумката  ', positive
'USERNAME USERNAME и на келнерите му е интересно на крај кога ќе треба да ја исчистат масата  ', positive
'USERNAME ама не секој викенд  само последниот во месецот, така? Немој после да испадне не сме кажале  ', positive
'недостају ми чари  ', negative
'Похвално  URL ', positive
'USERNAME ти бе  USERNAME ', positive
'USERNAME чеј, проблеми праам   чекам да ми се степа USERNAME ', positive
'USERNAME шала, имај убав ден топ си е  ', positive
'Чича, си видео како саудијски тенкиста трчи брже од Болта?  ', positive
'USERNAME немам, ако имаш вишок некоја пушти навака.  ', positive
'USERNAME овај ќе да не е истиот со DJ Комуњари од Тетово?  ', positive
'USERNAME нц, за овчарче ме спремале  ', negative
'USERNAME USERNAME слабо ја играв Џенералс, ми сецкаше  ', positive
'Што не му беше јасно првите 2 пати  URL ', positive
'Никој не дошол на претставата  URL ', negative
'USERNAME нашио е ќељаф  ', positive
'Пaк ќе те излaжaт  URL ', positive
'USERNAME Убаво ни беше Битола  USERNAME ', positive
'USERNAME мислев као за инат, нешо а у. јас навивам за шкендија  ', positive
'Само мастер смо радили 6 сати. Да не спомињемо све остало.  URL ', positive
'USERNAME Ништо.. Преубаво местенце е  ', positive
'USERNAME рогот го маам до крај  ', positive
'USERNAME USERNAME Jа играв со Либија и тоа, прашај го Николче  ', positive
'USERNAME ја почна да наплаќам  ', positive
'Сине јас и мајка ти ќе се разведеме никој нее виновен. Животот е таков. Животот е курва... Како мајка ти  ', positive
'USERNAME бомба и у ранец може да ставиш, ќе забранат ранци на плажа?  USERNAME USERNAME USERNAME USERNAME USERNAME ', positive
'USERNAME Може динамит и у анус, ама никој не го прави тоа.  USERNAME USERNAME USERNAME USERNAME USERNAME ', positive
'USERNAME Аутло го играв, ОП ако ти се паднат 3-4 бафој  Аса го сменале исто, од отрови, на блидој ќе е... Интересно ќе ти е  ', positive
'USERNAME Или па цик-цак меѓу вирчиња.  ', positive
'USERNAME не сум многу по кафињата и ги пијам исклучиво за време на испити.  ', positive
'USERNAME во нив дисциплина: цапање  ', positive
'USERNAME на 40 години кога ќе напуниш, бркот ќе ти стане жолт од многу ракија и манџа  видено безброј пати  ', positive
'USERNAME ако не има за 20 години  USERNAME ', positive
'USERNAME за вас уште поубаво, бидејќи почесто ќе се смешкате, па и тие што седат до вас ќе се радуваат повеќе  ', positive
'USERNAME абе паааааааа, таман сакав да стаам слика од таа  ', negative
'USERNAME Да се врти муабет. Да не е досадно.  USERNAME ', positive
'USERNAME Само лаке теме форсирам.  ', positive
'USERNAME абе знам дека треба да се познати, ама по шо се познати оти скоро па сигурен сум дека прв пат ги гледам  ', positive
'USERNAME ни јас мојот! Лојални на берберот  ', positive
'USERNAME објасни шо е тоа пошо додека играв, цензура беше да не може да пишува на чатот  ', positive
'USERNAME некој вид пејачка од типот на сања барби е? Ако да, затоа не ја знам  ', positive
'USERNAME USERNAME  Шо зборуете бе .. ја иам една леле шубавко ми стоиии  ', positive
'На точак, денес, не заборавајте!!  URL ', positive
'USERNAME нема врска  имај убав ден ', positive
'USERNAME коа ќе завршам факс тоа  ', positive
'USERNAME може и на римајндер  ', positive
'USERNAME лошара  ', positive
'Шкендија 2ка, побрзајте  ', positive
'Ја го тај шо слика цело време #ПтициНаЖици. Ај да му позираме  URL ', positive
'USERNAME извини шо не сум богат за да иам телефон со јака камера.  ', negative
'Да не знае некој да ми предложи стан/гарсоњера/хостел за краток престој од 7 дена во Скопје? Да биде фино и не ептен скапо  ', positive
'USERNAME не ми праи вака, лоша ќе се осетам  ', negative
'USERNAME има хостел кај Св. Петка во Кисела Вода, ама не знам како се викаше  ', positive
'Све више волим моје асиметрично лице.  ', positive
'USERNAME а многу лесен за праење  ', positive
'USERNAME конграчулејшнс мр. јане  ', positive
'USERNAME USERNAME USERNAME USERNAME Ако е избор треба да ја носи мажот.  ', positive
'USERNAME Ај баш да видимо...  ', positive
'USERNAME USERNAME USERNAME USERNAME а баш ме занима колку од вас познаваат жени што носат бурки  јер многу им се грижите ', positive
'USERNAME Ти колку гледаш во цицки, вечна ќе си!  ', positive
'USERNAME USERNAME многу лошо се облака иако изглеа предобро за нејзина возраст минус фотошопот  ', negative
'USERNAME секој можен пат  ', positive
'USERNAME бљак не. носи гу пољакињу али не беше добра идеја  ', negative
'USERNAME сериозно е  имаш квалитетни шанси дека ќе сјебеш рамо кичма колк колена ако си небалансиран :))) ', positive
'USERNAME еве ја пуштив прва епизода  ', positive
'USERNAME еј много ме хејташ ти  ', positive
'USERNAME USERNAME Само да ја разбудам Памела Андерсон, дои за 5 минути  ', positive
'Тек ми је колегиница сада дала  Фала USERNAME URL ', positive
'Додао/ла сам видео URL NEW COMPUTER!!!  на плејлисту корисника USERNAME ', positive
'USERNAME има многу појаки фешн блогерки бе  се\' си следам на инста хехе... ', negative
'USERNAME не се толку ексклузивни содржините на инстаграм  ', positive
'USERNAME реакција младог господина са ове слике  URL ', positive
'USERNAME Зашо толку си засегнат за функционерчиња?  Мислиш за жалење се? Се фати за данокот на селаните како слеп за стап.. ', positive
'USERNAME природата нека си ја зачува за себе, нека не ја шири врз други  ', negative
'USERNAME  секој. можен. пат.  Ми се има десено да ми пишат ОК. ОК што да ти ибам цел реферат пишав!  ', positive
'USERNAME Јбг, она је сад само за \"ококуће\" јербо ми је исцјепана, мало. Само за тренинг може  Била омиљена ', negative
'USERNAME USERNAME го откажаа летот 15 минути пред полетување  ', positive
'USERNAME некоја чука бандера, некоја мава тротоар, некоја жардоњера, некоја на косо... во право си, не се сите исти ни тогаш  ', positive
'USERNAME кликни тука да не го откажат летот. Џабе  ', positive
'USERNAME Баксузе! Иди си на  пијачка  USERNAME ', positive
'USERNAME Браво, така и да останеш  ', positive
'Јaдев мaкaрoни сo леб  ', negative
'USERNAME јебеш авантура ако немаш еден откажан лет барем  ', positive
'USERNAME сигурно е така и на други, ама отворив на тоа што ме интересира и крајно се разочарав  ', negative
'USERNAME ако се лечеше депресијата со чоколадо и книга до сега сите ќе бевме среќни  ', positive
'USERNAME ко не е на мјут - има 😁 има, има  ', positive
'USERNAME на кој оператор си? Ја на близу и кај мене нема глас  ', negative
'USERNAME USERNAME USERNAME Ако извадиме од твое време со девалвација ќе ти се одмили  ', positive
'USERNAME USERNAME USERNAME Не е со девалвација, гравитација е зборот  ', positive
'USERNAME мачката има боље фори од тебе  ', negative
'кад се мазе само пазе шминку да не покваре  ', positive
'USERNAME не читај USERNAME намерно не те пингам, за цела држава работиш про боно, не мора и за мене.  Млади каде сте?!?! ', positive
'USERNAME Хахахха... ти го кажа не јас.  ', positive
'USERNAME Мислила сам на било кога ко је био или је сад носилац било какве функције у Хрватској. Тзв. званични Хрват.  ', positive
'USERNAME да деее  па стварно се дерев.. Нејќам ни да знам како звучело од страна 😂 ', positive
'USERNAME ХАХАХХАХАХАХА БРАВО !!!! МЕ ПРЕСМЕА  Сеа јбг тоа е некој ждрепка ќе глеа, а некој песни ќе слушa :)) ', positive
'USERNAME Врска неам  ', negative
'USERNAME да бе вака присилно не се важит  ', negative
'USERNAME ... море да не посумњаат на мене  ', positive
'USERNAME Ах штета, нема да го најдам таму кај што идам  Но ми се допаѓа името  ', positive
'USERNAME па чим го тргнав погледот од телефон и се свртев, може да замислиш.  ', positive
'USERNAME Хах... На работа сум и во брзање видов само МАДРИД... Моја грешка, извини  ', positive
'USERNAME Втора лига плеј офф  ', positive
'#Јуве со најјакиот састав на ждрепква, ова значи нешто!  ', positive
'USERNAME тоа да, ама мислев карактерно  ', positive
'Искористете ја последната можност да се пријавите!  Јавете се на 075 861 907. URL ', positive
'USERNAME Прочитао.  ', positive
'USERNAME нека е здрава и жива да расте голема. Уживајте во љубов  ', positive
'.@kraft_mk  Залудно се надевав. Се случи. - Хемиска војна веќе неколку дена.  URL ', negative
'USERNAME Ти за секој случај глеај у сите, нешо ќе се фати  ', positive
'USERNAME Ќе го јадете xD  ', positive
'Севиља 2 пати ги победивме лани, зошто не и годинава!   #Јуве ', positive
'USERNAME глеј си  ', positive
'USERNAME Јас одма се соблакам и викам глеај! Ќе ти го продолжи животот  ', positive
'USERNAME Не.. Тој дефинитивно има некој проблем со мозокот  ', positive
'.@bikcrveni ево можда USERNAME или USERNAME могу да ти помогну и ускоче за кафу. Они су нам најновији овлашћени регистри  ', positive
'Ако се икада будете женили, нађите жену која ће вам решити проблем дана. Ноћу можете и спавати. Душко Радовић  ', positive
'USERNAME држи вода муабетов  ', positive
'USERNAME младалачки, не?  ', positive
'USERNAME ха тоа е тој хук. Ќе доеш на неколку дена и ќе падне одлука  ', positive
'USERNAME USERNAME во моето опкружување јас сум локалниот сероња  ', negative
'USERNAME USERNAME USERNAME USERNAME Не специфицираше бе брат, ти у банка читаш договор кредит коа земаш?  ', positive
'USERNAME за чудо некое, условно потешка група :D...ама затоа 1/8, џглап Лестер  ', positive
'USERNAME ама врати ја во водааа, ќе умре  ', negative
'USERNAME требаше да летам моментално, ама ме одложија за покасно  ако викнат на интервју покасно, ќе те пингам ', positive
'USERNAME помалку од 100 метра. Тој до него е 86  ', positive
'Имате шанса топџии до Бугарија да идете да си ги гледате дрвата  ', positive
'Следните изведби на претставата - Да го поздравиш и да ми го бациш - се закажани на 3,4 и 5 септември ! Се гледаме во џебно кино МКЦ  ', positive
'Off topic: Обожавам недоразбирање.  ', positive
'USERNAME USERNAME USERNAME те видов сабајле ајде не се срами  ', positive
'USERNAME тактички, Мората и Роналдо да не претнат против него  Само Бејл не му го пуштајте  ', positive
'Легија го наебале на велико  ', positive
'USERNAME мора да пробам ваква препорака штом доаѓа од тебе  ', positive
'Православна црква у Сирији  URL ', negative
'USERNAME  нема да ја боли бе, ништо не и е  не чувствува, окнеубивајтемесега USERNAME ', positive
'USERNAME ИСПРАВКА!  делишс е добро! за силбо зборев јас. СИЛБО САКС!!! ', positive
'USERNAME дур ти реплицирав прашав другар: абе тоа местото кај шо сите јадат а ич не ми се свиѓа како се викаше, таму кај апче  ', positive
'USERNAME хаха ајде заедно септември  ', positive
'Клиника  URL ', positive
'USERNAME имам една, не ми е за давање, ама може да те поканам на вртена пита од неа  ', positive
'USERNAME тргoвец\'  ', positive
'USERNAME Дека од Битола  <3 ', positive
'USERNAME Аааа ваква понуда не можам да одбијам.  ', positive
'USERNAME не верувам дека Динамо пред нив ќе заврши  ', positive
'USERNAME ја никада нисам обукла толишни шорц нити ишта тако неукусно голишаво и голо  ', positive
'Лелејјјј...  URL ', positive
'И да се разбериме, дечињата уживаат во надворешната убавина.  ', positive
'USERNAME јадник  ', positive
'Касно сам сазнао за овај диван догађај  URL ', negative
'Без овога вашар не може да прође  URL ', positive
'Ама тета ме боли...   Се стрчува,  те бубнува. #Внук , единица мерка за расположување 💗 ', negative
'USERNAME Уживај брату, јас исто не се разбирам понекогаш. Поздрав!  ', positive
'USERNAME одамна го тргнав де  ист ми е ко твитер ', positive
'USERNAME да, ја знам песната, и мене не ми се свиѓа и исто не знам од кого е  ', positive
'USERNAME мма никада није добио динар од државе, чак је србија забрањивала тај спорт  дакле опозиција смо и прошлом и овом режиму  ', positive
'USERNAME Тотално исклучен јадник.  ', positive
'Бравоооо ќе ве погодат во срце   URL ', positive
'USERNAME сеј си ти на компјутер и не мрдај многу со прстите  ', positive
'Бравоооо ќе ве погодат во срце  URL ', positive
'сака некој маче?  URL ', positive
'USERNAME можеле боље да замаскираат и да даат целокупна статистика место поединечна  ', negative
'USERNAME еее ќе ги научиш ко ќе се свртиш кон тенисот за типување  ', positive
'USERNAME нк успеоа  ', negative
'USERNAME ех. најсовршениот е делфин  вадиш максимум, башка шо имаш една континуирана синусоида од прсти на стапала, до прсти на раце. ', positive
'USERNAME  додај си #гинеколозистоп  USERNAME ', positive
'USERNAME тој нека чести па ако сака пак нека не му биди роденден  USERNAME ', positive
'USERNAME па сеа да не ти пишам ја со свои зборови, убо си е срочен првиот пасус  ', positive
'USERNAME USERNAME USERNAME USERNAME Лирика на место. Убаво ептен. И распеано  ', positive
'USERNAME не ти требит вики за да го знајш она  познато е дека е најтешка дисциплина. ', positive
'Зашто се трудим око људи?  ✊ ', positive
'USERNAME Леле. ЛЕЛЕ! Смеќава. Зборов го немам слушнато годинииии, мислев дека е дијалектен. А реченицава шо значи воопшто?  ', positive
'USERNAME чест на исклучоци, јас од фду сум, кај нас \"најголемите\" \"уметници\" беа неразбрани од околината  ', positive
'Начпрод накормил обедом на Лисова  USERNAME Lisova URL ', positive
'USERNAME Кад су безбожан, удаљен од бити своје дубоке,тад ти тако Немаш појма шта је живот,те млађан лупеташ  Хвала Богу,има дана.. ', positive
'USERNAME  е то је немогуће ', negative
'Солена паста за заби. Кој пробал знае  URL ', positive
'USERNAME Ма ови наши нису баш такви  ', positive
'USERNAME USERNAME овај линк више није жив  ', positive
'USERNAME стиди се, лако је отићи у нс на утакмицу, чик нађи на тв-у  ... ртв (војводина) ', positive
'USERNAME со млеко ги јадам!!!  ', positive
'USERNAME  па зашто сам ја раније излазио с посла? ', positive
'USERNAME трајно  ', positive
'USERNAME прегледах му остале постове.. он је негдје у 50им.. замисли какав је то дух  ', positive
'USERNAME Реално, мени ни не требају штикле да се бавим високом политиком.  USERNAME ', positive
'USERNAME Оти и вие женските мањачите,незнаев? Стварно сум изненаден и помалку разочаран  ', positive
'USERNAME ... Много остане га мени \" камо среће да је више таквих људи без  обзира на веру, Поздрав као и увек,  ', positive
'USERNAME еми да де, знак оти е рударска околија  ', positive
'За лесни чекорчиња на Вашите најмили во првите училишни денови од новата учебна година  URL ', positive
'USERNAME Што је најбитније, ни човјек.  USERNAME ', positive
'USERNAME Само Роналдо тој дава голови на послаби  ', positive
'USERNAME USERNAME USERNAME брат тие само од гледање во огледало исто ко да вежбаат if you know what i mean..  ', positive
'USERNAME URL бураз воа  ', positive
'USERNAME a шо значи зборот значи кога се дебатира на некоја подолга тема без реплики ... значи стварно незнам шо му значи  ', positive
'USERNAME ја сам мало  приглупа  за ваше умне  речи ,  ', positive
'ајде момци покажете се  URL ', positive
'USERNAME ммм .... ммм .... значи ... значи .... ммм оди спремисе после зборај бубалицо една  ', positive
'USERNAME Катаву  ', positive
'USERNAME лечестер. плави дресови  ', positive
'USERNAME  Неееее, Ви сте жена, романтиком од рођења заведена, од Еве наслеђено Неко безазлено, као Ви раби наследство Већином не  ', positive
'Да да, тоа е тоа чуство кога си на висок врв и кога над тебе има само облаци  А богами и под тебе... o.O URL ', positive
'USERNAME малку ми се нејасни, ама ај...  ', positive
'USERNAME Не, како јесте тако је То самном у вези није, као ни да Вама, ни ма ким до Бога Хвала Богу да је тако  ', positive
'USERNAME USERNAME Тајно Србијанско оружје: Шаљемо Шекија у Загреб да врати у православље НДХ Владу, Колинду, кардинале и бискупе!  ', positive
' која е најдобра земја... URL ', positive
'Preslatko!!  Не зна у шта је све мајка облачи док спава кô топ URL ', positive
'USERNAME а ние ќе си одиме фоф Блгарија  ', positive
'USERNAME Коце со диплома од машински и Владо Тинекс со диплома од Градежен, тие се легендите.  ', negative
'USERNAME немам рум во залихите :)) и коњакот е петка  ', positive
'USERNAME И јас не сум ама така ми изгледа... се сложвам  ', positive
'Мојот прв покемон. Кумашинчето се изнаоде јас цк прстето   URL ', positive
'USERNAME дој бато да те подучи: URL  ', positive
'Три круга вртам низ центар да најдам паркинг место шо се плаќа и неможам да најдам,и после сте немале пари... муабет од другарче  ', positive
'Еј колку малку треба да ти се разлее насмевка на лице! Ме позна тетка цвеќарка од маало, ми подари цвет  ', positive
